Optimizer,objfname,startTime,EndTime,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5
SMO,F1,2021-07-01-23-39-35,2021-07-01-23-39-35,0.1795341968536377,58054.64043998109,38398.15244040255,24260.142885001664,24260.142885001664,16273.094363385622
SMO,F1,2021-07-01-23-39-35,2021-07-01-23-39-35,0.06681060791015625,45154.76242364204,45154.76242364204,37370.203448662214,36074.60504431776,21600.0591440676
