Optimizer,objfname,startTime,EndTime,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5
SMO,F1,2021-07-02-09-41-29,2021-07-02-09-41-29,0.029639482498168945,44339.50600894014,31710.980270867494,31710.980270867494,28904.00584083215,28456.691648050484
SMO,F1,2021-07-02-09-41-29,2021-07-02-09-41-29,0.047215938568115234,53279.09792237425,53279.09792237425,34888.076568491306,34516.2394416932,31098.74510593796
