Optimizer,objfname,startTime,EndTime,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5
SMO,F1,2021-07-01-23-31-59,2021-07-01-23-31-59,0.1436474323272705,48337.511738064226,19265.38206284275,19265.38206284275,19265.38206284275,12061.389521835956
SMO,F1,2021-07-01-23-31-59,2021-07-01-23-31-59,0.014356851577758789,36225.913387948465,29432.916543750816,22583.26562936439,11790.425735084933,11790.425735084933
