Optimizer,objfname,startTime,EndTime,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5
SMO,F1,2021-07-02-10-08-40,2021-07-02-10-08-40,0.05141019821166992,57265.41730018741,32419.255533804375,30266.79915229742,11735.723768471527,11735.723768471527
SMO,F1,2021-07-02-10-08-40,2021-07-02-10-08-40,0.021988868713378906,52533.77536667375,43460.88123660753,32325.692601596085,29418.362108121335,19495.216743307567
