Optimizer,objfname,startTime,EndTime,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5
SMO,F1,2021-07-01-23-40-00,2021-07-01-23-40-00,0.035582780838012695,58669.3024399684,25013.59890275796,25013.59890275796,25013.59890275796,18622.89476905896
SMO,F1,2021-07-01-23-40-00,2021-07-01-23-40-00,0.05986762046813965,54269.346876993564,40898.66179181971,40898.66179181971,38207.60244253312,32373.070636067016
