Optimizer,objfname,startTime,EndTime,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5
SMO,F1,2021-07-01-23-40-02,2021-07-01-23-40-02,0.11040663719177246,53769.80247776397,25385.66175736549,25385.66175736549,25385.66175736549,25385.66175736549
SMO,F1,2021-07-01-23-40-02,2021-07-01-23-40-02,0.05115771293640137,52125.41608268797,41145.58256235816,32543.209471536225,24381.29549491435,17008.56975157418
